Transaction_ID,Date,Region,Department,Product_Category,Revenue,Expenses,Profit,Budget_Target,Quarter,Year
TXN00073,2024-04-06,East,Finance,Packaged Foods,71633,53380.61,18252.39,75291.86,Q2,2024
TXN00074,2025-05-04,East,Marketing,Personal Care,81396,44289.94,37106.06,91054.2,Q2,2025
TXN00075,2025-06-07,Central,Sales,Home Care,162279,114786.91,47492.09,175552.11,Q2,2025
TXN00076,2025-08-03,South,Operations,Packaged Foods,190429,129302.67,61126.33,205995.11,Q3,2025
TXN00077,2024-11-07,Central,Marketing,Packaged Foods,226669,171444.79,55224.21,260881.41,Q4,2024
TXN00078,2025-03-27,Central,Marketing,Beverages,194486,135685.02,58800.98,224104.4,Q1,2025
TXN00079,2025-03-06,Central,Sales,Snacks,68012,43414.71,24597.29,78944.97,Q1,2025
TXN00080,2025-08-19,East,Finance,Dairy,195217,163725.26,31491.74,218539.7,Q3,2025
TXN00081,2025-12-02,East,Finance,Beverages,414014,267268.5,146745.5,439236.01,Q4,2025
TXN00082,2025-12-12,South,Marketing,Beverages,405636,249073.86,156562.14,476788.6,Q4,2025
TXN00083,2024-05-18,North,Finance,Snacks,138185,90436.65,47748.35,156284.84,Q2,2024
TXN00084,2025-03-03,East,Operations,Packaged Foods,190047,135170.92,54876.08,220015.16,Q1,2025
TXN00085,2024-05-20,Central,Marketing,Beverages,73000,52157.14,20842.86,78198.77,Q2,2024
TXN00086,2024-02-03,South,Supply Chain,Home Care,63260,41451.12,21808.88,74542.8,Q1,2024
TXN00087,2025-08-04,North,Sales,Packaged Foods,230321,164592.67,65728.33,275854.41,Q3,2025
TXN00088,2025-01-24,North,Sales,Home Care,103608,62325.31,41282.69,112581.09,Q1,2025
TXN00089,2025-06-14,North,Sales,Packaged Foods,266769,201026.36,65742.64,284927.49,Q2,2025
TXN00090,2025-12-24,East,Finance,Beverages,328645,202763.64,125881.36,367180.51,Q4,2025
TXN00091,2024-07-29,Central,Operations,Personal Care,208694,122535.3,86158.7,246005.77,Q3,2024
TXN00092,2025-10-17,Central,Operations,Dairy,147934,106218.96,41715.04,172167.39,Q4,2025
TXN00093,2025-01-10,East,Operations,Personal Care,166486,95367.21,71118.79,184897.5,Q1,2025
TXN00094,2025-08-29,West,Sales,Packaged Foods,112177,75787.65,36389.35,126492.74,Q3,2025
TXN00095,2025-10-07,North,Sales,Dairy,142838,100741.4,42096.6,159738.78,Q4,2025
TXN00096,2025-04-10,North,Finance,Packaged Foods,176964,125864.43,51099.57,187184.23,Q2,2025
TXN00097,2025-08-18,East,Sales,Packaged Foods,206928,153598.19,53329.81,234668.1,Q3,2025
TXN00098,2024-10-21,East,Sales,Home Care,270373,180971.31,89401.69,283959.55,Q4,2024
TXN00099,2024-11-20,South,Finance,Dairy,229683,178990.6,50692.4,242272.91,Q4,2024
TXN00100,2025-07-23,West,Operations,Personal Care,105997,54473.91,51523.09,123117.13,Q3,2025
TXN00101,2025-06-19,North,Marketing,Snacks,276210,162898.98,113311.02,312675.21,Q2,2025
TXN00102,2024-10-22,North,Finance,Home Care,331949,223593.93,108355.07,361194.36,Q4,2024
TXN00103,2024-03-11,East,Supply Chain,Beverages,162824,119297.23,43526.77,188222.37,Q1,2024
TXN00104,2024-07-06,West,Operations,Packaged Foods,224860,152483.85,72376.15,250322.04,Q3,2024
TXN00105,2024-01-13,North,Finance,Beverages,161695,97659.76,64035.24,177597.99,Q1,2024
TXN00106,2024-11-22,Central,Operations,Personal Care,77913,48151.42,29761.58,84518.05,Q4,2024
TXN00107,2025-02-26,Central,Marketing,Beverages,148735,95246.18,53488.82,159278.95,Q1,2025
TXN00108,2025-09-10,South,Supply Chain,Personal Care,291643,166279.49,125363.51,308739.02,Q3,2025
TXN00109,2024-10-04,West,Sales,Personal Care,393751,249843.47,143907.53,432031.55,Q4,2024
TXN00110,2024-12-22,Central,Finance,Snacks,196460,135960.82,60499.18,226360.13,Q4,2024
TXN00111,2025-12-05,South,Marketing,Snacks,200484,132116.34,68367.66,237571.38,Q4,2025
TXN00112,2025-09-04,Central,Marketing,Packaged Foods,235255,167800.96,67454.04,278002.2,Q3,2025
TXN00113,2024-10-06,East,Sales,Personal Care,251359,145852.72,105506.28,291482.2,Q4,2024
TXN00114,2025-09-04,East,Marketing,Packaged Foods,258870,188856.62,70013.38,283189.59,Q3,2025
TXN00115,2024-12-17,South,Finance,Snacks,491509,289809.61,201699.39,520490.53,Q4,2024
TXN00116,2025-10-23,West,Supply Chain,Snacks,413543,272172.22,141370.78,496204.68,Q4,2025
TXN00117,2024-09-25,North,Supply Chain,Packaged Foods,305480,210708.7,94771.3,358229.25,Q3,2024
TXN00118,2024-03-04,Central,Finance,Packaged Foods,173836,134756.92,39079.08,203823.65,Q1,2024
TXN00119,2025-09-13,North,Supply Chain,Snacks,150986,98203.27,52782.73,176701.55,Q3,2025
TXN00120,2025-11-07,West,Finance,Home Care,238654,154061.9,84592.1,255395.53,Q4,2025
TXN00121,2025-03-12,South,Sales,Snacks,121738,84785.13,36952.87,138869.51,Q1,2025
TXN00122,2024-02-26,South,Operations,Packaged Foods,106072,75706.81,30365.19,113891.95,Q1,2024
TXN00123,2024-02-19,North,Operations,Packaged Foods,132511,96970.12,35540.88,152535.55,Q1,2024
TXN00124,2024-02-20,Central,Operations,Personal Care,66620,39610.6,27009.4,76756.79,Q1,2024
TXN00125,2024-02-15,South,Sales,Personal Care,168121,98168.46,69952.54,201538.27,Q1,2024
TXN00126,2024-09-29,Central,Sales,Packaged Foods,73115,50052.88,23062.12,85229.96,Q3,2024
TXN00127,2024-12-05,East,Sales,Snacks,102226,67910.32,34315.68,116513.1,Q4,2024
TXN00128,2025-02-12,East,Supply Chain,Packaged Foods,188536,129639.24,58896.76,204988.77,Q1,2025
TXN00129,2025-03-29,Central,Supply Chain,Beverages,93319,64260.99,29058.01,109316.32,Q1,2025
TXN00130,2025-04-20,South,Finance,Home Care,217098,159185.94,57912.06,233684.6,Q2,2025
TXN00131,2025-10-16,South,Marketing,Beverages,361399,241144.42,120254.58,413509.97,Q4,2025
TXN00132,2025-12-19,Central,Sales,Snacks,257212,179927.67,77284.33,293359.92,Q4,2025
TXN00133,2025-02-12,South,Operations,Beverages,184653,117072.59,67580.41,198562.62,Q1,2025
TXN00134,2024-10-20,West,Finance,Snacks,161179,107473.03,53705.97,169918.75,Q4,2024
TXN00135,2024-02-23,North,Sales,Personal Care,231481,135793.1,95687.9,252320.5,Q1,2024
TXN00136,2025-12-11,Central,Supply Chain,Dairy,366398,274155.59,92242.41,429621.28,Q4,2025
TXN00137,2025-03-03,North,Finance,Snacks,114549,79189.07,35359.93,124343.8,Q1,2025
TXN00138,2025-07-01,Central,Finance,Home Care,214087,129702.32,84384.68,255445.92,Q3,2025
TXN00139,2024-05-08,North,Supply Chain,Home Care,131570,83610.52,47959.48,156410.95,Q2,2024
TXN00140,2024-08-02,Central,Operations,Beverages,151923,97958.76,53964.24,161345.23,Q3,2024
TXN00141,2024-02-01,South,Supply Chain,Packaged Foods,143772,99856.38,43915.62,169307.42,Q1,2024
TXN00142,2025-03-06,North,Operations,Snacks,66082,38095.01,27986.99,69414.43,Q1,2025
TXN00143,2024-02-05,West,Operations,Home Care,153176,94461.16,58714.84,161441.53,Q1,2024
TXN00144,2024-08-05,East,Supply Chain,Snacks,140833,86814.46,54018.54,168966.69,Q3,2024
TXN00145,2025-12-06,Central,Sales,Beverages,186360,139257.02,47102.98,198298.25,Q4,2025
TXN00146,2024-04-28,Central,Supply Chain,Personal Care,110752,61243.19,49508.81,125446.04,Q2,2024
TXN00147,2024-02-16,South,Finance,Packaged Foods,87864,60518.75,27345.25,101776.55,Q1,2024
TXN00148,2025-06-29,West,Supply Chain,Home Care,122687,79461.61,43225.39,141337.54,Q2,2025
TXN00149,2024-12-18,South,Marketing,Dairy,111058,80078.27,30979.73,128491.84,Q4,2024
TXN00150,2025-05-28,South,Finance,Dairy,140310,105858.92,34451.08,166666.07,Q2,2025
TXN00151,2024-04-15,East,Sales,Beverages,204891,127232.57,77658.43,232135.66,Q2,2024
TXN00152,2024-12-11,East,Sales,Snacks,430202,239259.98,190942.02,463592.04,Q4,2024
TXN00153,2024-06-09,West,Supply Chain,Snacks,181521,102603.69,78917.31,210661.16,Q2,2024
TXN00154,2024-09-13,Central,Marketing,Home Care,166418,118221.04,48196.96,188661.1,Q3,2024
TXN00155,2024-01-27,East,Supply Chain,Dairy,195240,144320.09,50919.91,229761.81,Q1,2024
TXN00156,2025-06-21,East,Marketing,Beverages,98894,65795.98,33098.02,116337.76,Q2,2025
TXN00157,2025-05-08,West,Marketing,Home Care,338141,232781.02,105359.98,362068.31,Q2,2025
TXN00158,2025-03-28,South,Operations,Dairy,66280,55485.42,10794.58,70348.1,Q1,2025
TXN00159,2024-02-16,South,Sales,Dairy,137911,103357.28,34553.72,150459.6,Q1,2024
TXN00160,2025-07-17,Central,Sales,Dairy,72842,53884.94,18957.06,86925.84,Q3,2025
TXN00161,2024-04-16,South,Supply Chain,Home Care,161458,97754.7,63703.3,173762.49,Q2,2024
TXN00162,2024-07-27,North,Supply Chain,Home Care,304945,194877.66,110067.34,362241.17,Q3,2024
TXN00163,2024-10-31,East,Sales,Personal Care,82107,43719.09,38387.91,97880.34,Q4,2024
TXN00164,2025-09-06,Central,Operations,Dairy,108466,78315.78,30150.22,126466.59,Q3,2025
TXN00165,2025-07-02,South,Marketing,Home Care,234599,160034.01,74564.99,253707.6,Q3,2025
TXN00166,2025-01-03,North,Supply Chain,Dairy,115787,97530.84,18256.16,135333.65,Q1,2025
TXN00167,2024-02-22,East,Operations,Beverages,160315,103982.78,56332.22,189812.37,Q1,2024
TXN00168,2024-06-19,North,Finance,Packaged Foods,187933,131186.15,56746.85,202898.89,Q2,2024
TXN00169,2025-01-27,West,Marketing,Dairy,119863,99688.99,20174.01,133698.28,Q1,2025
TXN00170,2025-09-12,West,Marketing,Dairy,310383,258078.49,52304.51,352789.71,Q3,2025
TXN00171,2024-12-29,East,Operations,Snacks,261456,167923.27,93532.73,313605.94,Q4,2024
TXN00172,2024-06-07,South,Operations,Beverages,191047,138793.22,52253.78,215276.56,Q2,2024
TXN00173,2025-03-26,South,Supply Chain,Home Care,212243,150474.96,61768.04,247270.81,Q1,2025
TXN00174,2025-02-03,North,Supply Chain,Packaged Foods,102621,76817.57,25803.43,109462.03,Q1,2025
TXN00175,2024-10-10,North,Sales,Home Care,297659,186227.11,111431.89,349975.12,Q4,2024
TXN00176,2024-05-30,West,Supply Chain,Personal Care,351229,223841.8,127387.2,392942.65,Q2,2024
TXN00177,2025-03-14,East,Marketing,Personal Care,171213,96779.68,74433.32,181784.89,Q1,2025
TXN00178,2024-04-12,North,Operations,Personal Care,163670,86128.97,77541.03,183919.86,Q2,2024
TXN00179,2025-02-12,Central,Sales,Beverages,106328,75539.53,30788.47,124588.05,Q1,2025
TXN00180,2024-08-21,Central,Sales,Beverages,175759,110205.71,65553.29,208146.09,Q3,2024
TXN00181,2024-09-22,West,Operations,Personal Care,282163,167991.09,114171.91,316707.3,Q3,2024
TXN00182,2025-07-10,West,Marketing,Snacks,321959,184766.42,137192.58,369054.38,Q3,2025
TXN00183,2024-09-18,North,Sales,Dairy,157314,115715.61,41598.39,166733.1,Q3,2024
TXN00184,2024-09-22,North,Marketing,Beverages,201949,146352.44,55596.56,236153.18,Q3,2024
TXN00185,2025-10-27,Central,Sales,Snacks,234183,159033.24,75149.76,256319.29,Q4,2025
TXN00186,2025-02-09,North,Operations,Beverages,223327,151155.39,72171.61,258874.57,Q1,2025
TXN00187,2024-03-17,East,Finance,Home Care,153728,109389.0,44339.0,175435.36,Q1,2024
TXN00188,2024-04-29,South,Sales,Snacks,111501,74879.97,36621.03,133385.58,Q2,2024
TXN00189,2025-08-05,North,Sales,Beverages,276150,179657.41,96492.59,302369.22,Q3,2025
TXN00190,2024-01-17,North,Marketing,Personal Care,153971,99819.96,54151.04,170009.26,Q1,2024
TXN00191,2025-12-23,Central,Supply Chain,Snacks,200707,119766.04,80940.96,213059.99,Q4,2025
TXN00192,2025-08-25,Central,Marketing,Home Care,169406,126465.35,42940.65,197446.67,Q3,2025
TXN00193,2025-03-05,North,Supply Chain,Beverages,69781,44173.31,25607.69,76647.6,Q1,2025
TXN00194,2025-04-13,West,Operations,Beverages,103769,73941.52,29827.48,116902.66,Q2,2025
TXN00195,2025-02-09,West,Finance,Packaged Foods,141693,101771.23,39921.77,152181.2,Q1,2025
TXN00196,2024-03-29,North,Supply Chain,Home Care,164712,101124.43,63587.57,191486.21,Q1,2024
TXN00197,2025-01-07,East,Supply Chain,Beverages,91115,57167.14,33947.86,108510.39,Q1,2025
TXN00198,2024-10-24,Central,Finance,Dairy,252726,203845.1,48880.9,293487.76,Q4,2024
TXN00199,2025-05-12,West,Sales,Packaged Foods,352856,238947.68,113908.32,391240.68,Q2,2025
TXN00200,2024-09-27,Central,Operations,Home Care,179746,132650.48,47095.52,198494.55,Q3,2024
TXN00201,2024-12-26,East,Supply Chain,Snacks,379888,234399.77,145488.23,455048.85,Q4,2024
TXN00202,2025-01-26,West,Sales,Beverages,155418,107261.48,48156.52,170068.17,Q1,2025
TXN00203,2024-12-17,North,Supply Chain,Personal Care,358458,202881.62,155576.38,396714.05,Q4,2024
TXN00204,2025-08-10,East,Marketing,Dairy,223702,161324.2,62377.8,251436.58,Q3,2025
TXN00205,2025-06-21,West,Operations,Beverages,151260,105279.45,45980.55,169902.78,Q2,2025
TXN00206,2025-05-27,West,Supply Chain,Home Care,155610,114257.14,41352.86,172527.61,Q2,2025
TXN00207,2024-05-03,West,Sales,Beverages,160412,103536.92,56875.08,178519.04,Q2,2024
TXN00208,2025-02-17,Central,Sales,Packaged Foods,89825,64920.39,24904.61,103590.39,Q1,2025
TXN00209,2025-01-13,South,Supply Chain,Dairy,101475,84231.9,17243.1,117164.77,Q1,2025
TXN00210,2024-05-20,Central,Finance,Personal Care,80554,47724.5,32829.5,86298.59,Q2,2024
TXN00211,2025-10-04,West,Sales,Personal Care,219704,130714.06,88989.94,262165.99,Q4,2025
TXN00212,2024-07-05,Central,Sales,Dairy,120313,97073.17,23239.83,132416.39,Q3,2024
TXN00213,2024-01-15,South,Finance,Personal Care,127807,77558.56,50248.44,148750.88,Q1,2024
TXN00214,2025-06-02,North,Supply Chain,Snacks,73168,46354.47,26813.53,81864.34,Q2,2025
TXN00215,2025-04-25,West,Operations,Packaged Foods,157326,107529.87,49796.13,175469.19,Q2,2025
TXN00216,2025-09-29,West,Marketing,Dairy,167574,135680.93,31893.07,198381.9,Q3,2025
TXN00217,2024-05-22,West,Finance,Personal Care,97742,56483.62,41258.38,112258.71,Q2,2024
TXN00218,2024-01-10,East,Supply Chain,Packaged Foods,136179,91570.87,44608.13,143330.71,Q1,2024
TXN00219,2025-11-23,East,Supply Chain,Packaged Foods,97415,70760.53,26654.47,102831.14,Q4,2025
TXN00220,2025-02-16,North,Marketing,Snacks,60225,33736.58,26488.42,68795.07,Q1,2025
TXN00221,2024-09-24,Central,Operations,Home Care,100717,60454.58,40262.42,108583.71,Q3,2024
TXN00222,2024-08-21,East,Finance,Beverages,85647,58796.87,26850.13,98699.95,Q3,2024
TXN00223,2025-12-23,Central,Supply Chain,Packaged Foods,364469,253672.23,110796.77,383270.88,Q4,2025
TXN00224,2025-11-06,North,Operations,Dairy,435235,340037.94,95197.06,461556.08,Q4,2025
TXN00225,2025-01-29,Central,Sales,Home Care,154108,103515.41,50592.59,175186.73,Q1,2025
TXN00226,2025-09-25,Central,Sales,Packaged Foods,213110,150602.02,62507.98,227817.66,Q3,2025
TXN00227,2024-07-29,North,Sales,Snacks,315582,175318.96,140263.04,367437.32,Q3,2024
TXN00228,2025-11-25,East,Sales,Packaged Foods,326278,246306.0,79972.0,371894.9,Q4,2025
TXN00229,2025-05-31,West,Marketing,Packaged Foods,353089,246347.27,106741.73,388427.16,Q2,2025
TXN00230,2024-04-23,East,Supply Chain,Beverages,49584,36134.48,13449.52,52088.96,Q2,2024
TXN00231,2024-01-04,North,Finance,Beverages,230799,170271.55,60527.45,268341.2,Q1,2024
TXN00232,2025-04-04,North,Marketing,Snacks,207199,121496.51,85702.49,222155.77,Q2,2025
TXN00233,2025-09-21,Central,Sales,Personal Care,156735,90804.01,65930.99,182458.14,Q3,2025
TXN00234,2024-06-07,South,Supply Chain,Home Care,245402,166828.35,78573.65,261954.89,Q2,2024
TXN00235,2025-12-09,Central,Finance,Home Care,290006,206366.67,83639.33,346496.32,Q4,2025
TXN00236,2025-07-23,Central,Sales,Beverages,178809,123206.73,55602.27,210695.87,Q3,2025
TXN00237,2025-06-02,South,Operations,Home Care,53183,36752.23,16430.77,61500.05,Q2,2025
TXN00238,2025-08-25,West,Sales,Snacks,188475,123127.16,65347.84,222000.37,Q3,2025
TXN00239,2024-04-28,Central,Sales,Dairy,171958,125944.06,46013.94,200382.39,Q2,2024
TXN00240,2025-11-02,Central,Marketing,Beverages,99103,61863.72,37239.28,105609.6,Q4,2025
TXN00241,2024-11-22,North,Operations,Snacks,347959,201517.85,146441.15,406287.45,Q4,2024
TXN00242,2024-05-13,West,Marketing,Personal Care,151301,97143.42,54157.58,177146.12,Q2,2024
TXN00243,2025-06-01,North,Operations,Dairy,194665,158471.09,36193.91,205978.08,Q2,2025
TXN00244,2025-10-12,Central,Operations,Snacks,185522,129611.66,55910.34,217581.5,Q4,2025
TXN00245,2024-10-16,East,Sales,Beverages,240679,163064.3,77614.7,269769.19,Q4,2024
TXN00246,2025-01-09,South,Marketing,Home Care,151733,95386.48,56346.52,164330.37,Q1,2025
TXN00247,2025-10-11,South,Marketing,Personal Care,214115,113038.48,101076.52,234340.63,Q4,2025
TXN00248,2024-08-03,Central,Marketing,Packaged Foods,208447,150930.47,57516.53,234755.07,Q3,2024
TXN00249,2025-08-28,West,Supply Chain,Snacks,217450,139267.53,78182.47,254075.05,Q3,2025
TXN00250,2025-09-07,East,Supply Chain,Snacks,89348,61941.04,27406.96,104136.35,Q3,2025
TXN00251,2025-06-14,West,Supply Chain,Beverages,215244,150053.05,65190.95,243885.19,Q2,2025
TXN00252,2024-12-02,East,Sales,Beverages,336928,214663.4,122264.6,396118.8,Q4,2024
TXN00253,2024-04-09,North,Sales,Dairy,67374,49921.01,17452.99,76179.22,Q2,2024
TXN00254,2024-11-08,Central,Operations,Personal Care,103841,56343.34,47497.66,117741.55,Q4,2024
TXN00255,2025-07-19,Central,Supply Chain,Dairy,47362,36313.68,11048.32,51202.06,Q3,2025
TXN00256,2025-03-23,South,Finance,Beverages,168147,120251.07,47895.93,186893.27,Q1,2025
TXN00257,2024-05-15,North,Operations,Dairy,132993,111743.94,21249.06,155924.31,Q2,2024
TXN00258,2025-07-27,North,Marketing,Dairy,306265,219304.81,86960.19,366884.78,Q3,2025
TXN00259,2025-02-02,West,Sales,Dairy,55007,43982.78,11024.22,60999.76,Q1,2025
TXN00260,2024-05-03,East,Operations,Packaged Foods,55747,39780.29,15966.71,59258.4,Q2,2024
TXN00261,2025-01-14,North,Operations,Dairy,242630,187047.56,55582.44,263839.94,Q1,2025
TXN00262,2025-07-03,West,Sales,Dairy,282919,237675.04,45243.96,316047.55,Q3,2025
TXN00263,2025-12-21,West,Operations,Packaged Foods,409814,279221.02,130592.98,454872.49,Q4,2025
TXN00264,2024-06-03,Central,Finance,Packaged Foods,135494,103353.25,32140.75,160437.77,Q2,2024
TXN00265,2024-03-13,South,Marketing,Dairy,52810,43859.11,8950.89,56491.17,Q1,2024
TXN00266,2025-03-12,North,Marketing,Snacks,151211,98494.96,52716.04,171039.95,Q1,2025
TXN00267,2024-03-25,North,Finance,Snacks,69793,39382.49,30410.51,75990.3,Q1,2024
TXN00268,2024-07-05,West,Supply Chain,Snacks,334999,216912.82,118086.18,359053.27,Q3,2024
TXN00269,2025-10-02,East,Sales,Packaged Foods,257077,202675.92,54401.08,289424.45,Q4,2025
TXN00270,2024-08-11,West,Supply Chain,Dairy,318736,248485.52,70250.48,350206.35,Q3,2024
TXN00271,2024-08-10,South,Finance,Personal Care,297237,158103.64,139133.36,354256.13,Q3,2024
TXN00272,2025-04-06,North,Marketing,Snacks,265732,152639.83,113092.17,296695.52,Q2,2025
TXN00273,2025-02-22,East,Supply Chain,Home Care,53044,35254.86,17789.14,59764.97,Q1,2025
